path,npy,flag,box,n_dets
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-13-10 camara 1 - 10-058.mp4,control_negativo__control_negativo__01-07-19-13-10_camara_1_-_10-058.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-17-38 camara 3 - 38-162.mp4,control_negativo__control_negativo__01-07-19-17-38_camara_3_-_38-162.mp4.npy,ok,"190,0,677",3
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-19-32 camara 1 - 32-943.mp4,control_negativo__control_negativo__01-07-19-19-32_camara_1_-_32-943.mp4.npy,ok,"481,33,632",3
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-28-37 camara 3 - 37-013.mp4,control_negativo__control_negativo__01-07-19-28-37_camara_3_-_37-013.mp4.npy,ok,"124,20,734",3
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-38-07 camara 3 - 07-223.mp4,control_negativo__control_negativo__01-07-19-38-07_camara_3_-_07-223.mp4.npy,ok,"0,140,812",3
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-46-28 camara 3 - 28-890.mp4,control_negativo__control_negativo__01-07-19-46-28_camara_3_-_28-890.mp4.npy,ok,"552,0,588",3
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-54-26 camara 3 - 26-136.mp4,control_negativo__control_negativo__01-07-19-54-26_camara_3_-_26-136.mp4.npy,ok,"0,141,855",3
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-56-48 camara 3 - 48-878.mp4,control_negativo__control_negativo__01-07-19-56-48_camara_3_-_48-878.mp4.npy,ok,"540,0,670",3
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-00-28 camara 1 - 28-643.mp4,control_negativo__control_negativo__01-07-20-00-28_camara_1_-_28-643.mp4.npy,ok,"419,24,653",3
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-07-43 camara 1 - 43-362.mp4,control_negativo__control_negativo__01-07-20-07-43_camara_1_-_43-362.mp4.npy,ok,"424,61,607",3
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-09-46 camara 2 - 46-734.mp4,control_negativo__control_negativo__01-07-20-09-46_camara_2_-_46-734.mp4.npy,ok,"420,0,625",3
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-09-54 camara 2 - 54-318.mp4,control_negativo__control_negativo__01-07-20-09-54_camara_2_-_54-318.mp4.npy,ok,"400,0,624",3
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-14-06 camara 3 - 06-344.mp4,control_negativo__control_negativo__01-07-20-14-06_camara_3_-_06-344.mp4.npy,ok,"332,0,546",3
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-28-13 camara 1 - 13-825.mp4,control_negativo__control_negativo__01-07-20-28-13_camara_1_-_13-825.mp4.npy,ok,"524,76,482",3
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-29-32 camara 3 - 32-304.mp4,control_negativo__control_negativo__01-07-20-29-32_camara_3_-_32-304.mp4.npy,ok,"291,0,598",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_105__Corte-guardar_AINHOA4.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_105__Corte-guardar_AINHOA4.mp4.npy,ok,"519,21,404",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_10__Corte-guardar._JUAN14.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_10__Corte-guardar._JUAN14.mp4.npy,ok,"693,0,471",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_114__Corte-guardar._JUAN12.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_114__Corte-guardar._JUAN12.mp4.npy,ok,"511,0,567",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_118__Corte-guardar_AINHOA6.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_118__Corte-guardar_AINHOA6.mp4.npy,ok,"619,12,448",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_122__Corte-guardar_AINHOA4.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_122__Corte-guardar_AINHOA4.mp4.npy,ok,"535,3,458",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_125__Corte-guardar._JUAN8.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_125__Corte-guardar._JUAN8.mp4.npy,ok,"711,0,394",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_139__Corte-guardar._JOSE2.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_139__Corte-guardar._JOSE2.mp4.npy,ok,"566,0,487",3
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_157__Corte,-guardar._JUAN13.mp4",dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_157__Corte_-guardar._JUAN13.mp4.npy,ok,"739,0,446",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_160__Corte-guardar._JUAN10.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_160__Corte-guardar._JUAN10.mp4.npy,ok,"652,0,448",3
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_16__Corte,-guardar._JUAN4.mp4",dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_16__Corte_-guardar._JUAN4.mp4.npy,ok,"530,0,479",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_178__Corte-guardar_AINHOA1.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_178__Corte-guardar_AINHOA1.mp4.npy,ok,"520,25,394",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_180__Corte-guardar_AINHOA3.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_180__Corte-guardar_AINHOA3.mp4.npy,ok,"505,18,405",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_183__Corte-guardar._JUAN8.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_183__Corte-guardar._JUAN8.mp4.npy,ok,"716,0,438",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_186__Corte-guardar._JUAN10.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_186__Corte-guardar._JUAN10.mp4.npy,ok,"538,0,436",3
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_208__Corte,-guardar_AINHOA4.mp4",dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_208__Corte_-guardar_AINHOA4.mp4.npy,ok,"1451,779,267",1
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_226__Corte-guardar._JUAN10.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_226__Corte-guardar._JUAN10.mp4.npy,ok,"718,0,423",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_24__Corte-guardar._AINHOA2.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_24__Corte-guardar._AINHOA2.mp4.npy,ok,"520,9,419",3
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_28__Corte,-guardar._JUAN14.mp4",dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_28__Corte_-guardar._JUAN14.mp4.npy,ok,"717,0,544",3
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_30__Corte,-guardar._JUAN14.mp4",dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_30__Corte_-guardar._JUAN14.mp4.npy,ok,"721,0,542",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_41__Corte-guardar._JUAN13.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_41__Corte-guardar._JUAN13.mp4.npy,ok,"727,0,432",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_43__Corte-guardar_AINHOA3.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_43__Corte-guardar_AINHOA3.mp4.npy,ok,"530,14,421",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_4__Corte-guardar._AINHOA1.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_4__Corte-guardar._AINHOA1.mp4.npy,ok,"522,6,428",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_51__Corte-Guardar_AINHOA6.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_51__Corte-Guardar_AINHOA6.mp4.npy,ok,"511,20,404",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_58__Corte-Guardar_AINHOA5.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_58__Corte-Guardar_AINHOA5.mp4.npy,ok,"514,21,400",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_5__Corte-guardar._JUAN3.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_5__Corte-guardar._JUAN3.mp4.npy,ok,"719,0,495",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_70__Corte-guardar_AINHOA6.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_70__Corte-guardar_AINHOA6.mp4.npy,ok,"509,20,402",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_77__Corte-guardar._JUAN11.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_77__Corte-guardar._JUAN11.mp4.npy,ok,"641,0,413",3
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_7__Corte,-guardar._JUAN5.mp4",dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_7__Corte_-guardar._JUAN5.mp4.npy,ok,"502,0,623",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_83__Corte-guardar._JUAN13.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_83__Corte-guardar._JUAN13.mp4.npy,ok,"506,0,685",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_85__Corte-guardar._JUAN13.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_85__Corte-guardar._JUAN13.mp4.npy,ok,"508,0,675",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_8__Corte-guardar._JUAN14.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_8__Corte-guardar._JUAN14.mp4.npy,ok,"687,0,475",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_94__Corte-guardar_AINHOA5.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_94__Corte-guardar_AINHOA5.mp4.npy,ok,"513,19,401",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_99__Corte-guardar_AINHOA6.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_99__Corte-guardar_AINHOA6.mp4.npy,ok,"633,53,247",2
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_108__Corte,-guardar_AINHOA2.mp4",dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_108__Corte_-guardar_AINHOA2.mp4.npy,ok,"663,39,432",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_10__Corte-guardar_JUAN13.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_10__Corte-guardar_JUAN13.mp4.npy,ok,"675,6,474",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_114__Corte-guardar_JOSE2.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_114__Corte-guardar_JOSE2.mp4.npy,ok,"857,26,475",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_122__Corte-guardar_AINHOA4.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_122__Corte-guardar_AINHOA4.mp4.npy,ok,"682,52,425",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_125__Corte-guardar._JUAN8.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_125__Corte-guardar._JUAN8.mp4.npy,ok,"823,15,475",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_135__Corte-guardar_AINHOA6.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_135__Corte-guardar_AINHOA6.mp4.npy,ok,"844,97,300",3
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_140__Corte,-guardar._JUAN13.mp4",dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_140__Corte_-guardar._JUAN13.mp4.npy,ok,"839,16,485",3
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_157__Corte,-guardar._JUAN13.mp4",dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_157__Corte_-guardar._JUAN13.mp4.npy,ok,"889,30,449",3
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_16__Corte,-guardar._JUAN4.mp4",dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_16__Corte_-guardar._JUAN4.mp4.npy,ok,"687,6,460",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_178__Corte-guardar_AINHOA1.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_178__Corte-guardar_AINHOA1.mp4.npy,ok,"651,43,419",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_182__Corte-guardar._AINHOA3.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_182__Corte-guardar._AINHOA3.mp4.npy,ok,"678,48,424",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_203__Corte-guardar_JOSE2.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_203__Corte-guardar_JOSE2.mp4.npy,ok,"836,21,493",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_211__Corte-guardar_JOSE2.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_211__Corte-guardar_JOSE2.mp4.npy,ok,"843,32,376",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_23__Corte-guardar_AINHOA1.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_23__Corte-guardar_AINHOA1.mp4.npy,ok,"682,42,417",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_27__Corte-guardar._JUAN10.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_27__Corte-guardar._JUAN10.mp4.npy,ok,"804,8,505",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_298__Corte-guardar_JOSE2.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_298__Corte-guardar_JOSE2.mp4.npy,ok,"777,55,264",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_306__Corte-guardar_JOSE2.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_306__Corte-guardar_JOSE2.mp4.npy,ok,"830,28,529",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_30__Corte-guardar_JUAN12.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_30__Corte-guardar_JUAN12.mp4.npy,ok,"606,0,673",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_41__Corte-guardar._JUAN13.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_41__Corte-guardar._JUAN13.mp4.npy,ok,"870,26,448",3
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_46__Corte,-guardar._JUAN8.mp4",dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_46__Corte_-guardar._JUAN8.mp4.npy,ok,"881,27,453",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_4__Corte-guardar._JUAN14.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_4__Corte-guardar._JUAN14.mp4.npy,ok,"827,9,502",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_53__Corte-guardar._JUAN7.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_53__Corte-guardar._JUAN7.mp4.npy,ok,"694,0,746",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_5__Corte-guardar._AINHOA2.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_5__Corte-guardar._AINHOA2.mp4.npy,ok,"647,45,417",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_60__Corte-guardar_AINHOA5.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_60__Corte-guardar_AINHOA5.mp4.npy,ok,"681,47,434",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_70__Corte-guardar_AINHOA6.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_70__Corte-guardar_AINHOA6.mp4.npy,ok,"621,40,440",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_79__Corte-guardar_AINHOA5.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_79__Corte-guardar_AINHOA5.mp4.npy,ok,"632,41,432",1
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_7__Corte-guardar._AINHOA2.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_7__Corte-guardar._AINHOA2.mp4.npy,ok,"658,44,425",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_83__Corte-guardar._JUAN13.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_83__Corte-guardar._JUAN13.mp4.npy,ok,"649,29,497",3
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_85__Corte,-guardar._JUAN8.mp4",dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_85__Corte_-guardar._JUAN8.mp4.npy,ok,"700,0,678",3
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_2_86__Corte-guardar._JUAN10.mp4,dia_guardar__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_86__Corte-guardar._JUAN10.mp4.npy,ok,"803,3,561",3
