path,dataset,clase,split,sesion,camara,evento,duration,width,height,fps,score_prod
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-52-29 camara 3 - 29-801.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-54-26 camara 3 - 26-136.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-55-31 camara 1 - 31-091.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-56-48 camara 2 - 48-054.mp4,control_negativo,normal,test,,2,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-56-48 camara 3 - 48-878.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-56-54 camara 0 - 54-665.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-58-57 camara 0 - 57-991.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-00-28 camara 1 - 28-643.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-00-35 camara 0 - 35-269.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-07-11 camara 3 - 11-159.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-07-43 camara 1 - 43-362.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-08-21 camara 1 - 21-859.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-09-45 camara 3 - 45-991.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-09-46 camara 2 - 46-734.mp4,control_negativo,normal,test,,2,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-09-52 camara 1 - 52-626.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-09-53 camara 0 - 53-454.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-09-54 camara 2 - 54-318.mp4,control_negativo,normal,test,,2,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-09-55 camara 3 - 55-108.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-10-44 camara 3 - 44-665.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-14-06 camara 3 - 06-344.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-23-12 camara 0 - 12-929.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-25-43 camara 1 - 43-044.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-28-13 camara 1 - 13-825.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-28-52 camara 1 - 52-970.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-28-59 camara 0 - 59-699.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-29-32 camara 3 - 32-304.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-20-30-04 camara 1 - 04-982.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_103__Corte-guardar_AINHOA4.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,103,7.76,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_105__Corte-guardar_AINHOA4.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,105,5.48,1920,1080,25.0,
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_108__Corte,-guardar_AINHOA2.mp4",dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,108,3.0,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_109__Corte-guardar_JOSE2.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,109,4.96,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_10__Corte-guardar._JUAN14.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,10,3.68,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_10__Corte-guardar_JUAN13.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,10,2.88,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_113__Corte-guardar_AINHOA5.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,113,4.88,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_114__Corte-guardar._JUAN12.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,114,4.32,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_114__Corte-guardar_JOSE2.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,114,5.04,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_115__Corte-guardar_AINHOA5.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,115,4.96,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_118__Corte-guardar_AINHOA6.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,118,5.28,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_11__Corte-guardar._JOSE2.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,11,4.08,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_120__Corte-guardar_AINHOA4.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,120,5.2,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_122__Corte-guardar_AINHOA4.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,122,5.6,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_122__Corte-guardar_JOSE2.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,122,5.0,1920,1080,25.0,
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_124__Corte,-guardar._AINHOA2.mp4",dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,124,6.48,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_125__Corte-guardar._JUAN8.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,125,3.96,1920,1080,25.0,
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_126__Corte,-guardar._AINHOA2.mp4",dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,126,6.48,1920,1080,25.0,
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_12__Corte,-guardar._JUAN7.mp4",dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,12,5.2,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_139__Corte-guardar._JOSE2.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,139,5.6,1920,1080,25.0,
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_140__Corte,-guardar._JUAN13.mp4",dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,140,5.84,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_143__Corte-guardar_JOSE2.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,143,5.36,1920,1080,25.0,
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_157__Corte,-guardar._JUAN13.mp4",dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,157,3.76,1920,1080,25.0,
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_158__Corte,-guardar._JUAN13.mp4",dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,158,3.72,1920,1080,25.0,
"/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_15__Corte,-guardar._JUAN6.mp4",dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,15,2.92,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_160__Corte-guardar._JUAN10.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,160,5.68,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_163__Corte-guardar_AINHOA3.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,163,5.72,1920,1080,25.0,
/home/tomis/SBT/DATASETS/dia_guardar/dia_guardar/accion___4___no_obvioJUAN15ABRILtestcamara_1_165__Corte-guardar_AINHOA3.mp4,dia_guardar,no_obvio_eval,train,JUAN15ABRIL,1,165,5.4,1920,1080,25.0,
