npy,label,split,marco,x0,y0,x1,y1,fps,dataset_tipo,clip_origen
"L48__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_1_26__-Corte,-termino..npy",48,train,1.073,887,113,1126,352,25,todo_showroom,"accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_1_26__-Corte,-termino..mp4"
"L47__dia__accion___42___MIGUEL1testcamara_4_69__Corte,-caminar_MIGUEL3.npy",47,train,1.063,535,123,1173,761,25,dia,"accion___42___MIGUEL1testcamara_4_69__Corte,-caminar_MIGUEL3.mp4"
L04__todo_showroom__accion___4___showroom_ROBO_JOSE_2_2024-12-20_12-37-49_obvio_testTOMA_DE_DATOS_1_135__-corte-termino.npy,4,val,1.064,936,162,1243,469,25,todo_showroom,accion___4___showroom_ROBO_JOSE_2_2024-12-20_12-37-49_obvio_testTOMA_DE_DATOS_1_135__-corte-termino.mp4
"L40__ainhoa__accion___40___corrert3_19__-corte,-correr.npy",40,val,1.075,391,77,1348,1034,25,ainhoa,"accion___40___corrert3_19__-corte,-correr.mp4"
L11__dia__accion___24___JUAN15ABRILtestcamara_4_136__Corte-bajar-mano._JUAN12.npy,11,train,1.039,327,154,668,495,25,dia,accion___24___JUAN15ABRILtestcamara_4_136__Corte-bajar-mano._JUAN12.mp4
L13__ainhoa__accion___13___OCT04_primera_t1_168__-Corte-saco.__metadata-informacion.-Zona-norte-4.-Robo-abrigo..npy,13,train,1.049,613,157,836,380,25,ainhoa,accion___13___OCT04_primera_t1_168__-Corte-saco.__metadata-informacion.-Zona-norte-4.-Robo-abrigo..mp4
L02__dia__accion___2___MIGUEL1testcamara_1_60__Corte-carrito_JOSESEC2.npy,2,train,1.042,712,107,956,351,25,dia,accion___2___MIGUEL1testcamara_1_60__Corte-carrito_JOSESEC2.mp4
L04__todo_showroom__accion___4___showroom_ROBO_BONI_2_2024-12-17_12-10-28_no-obvio_testTOMA_DE_DATOS_2_410__-corte-y-termino.npy,4,train,1.026,986,162,1225,401,25,todo_showroom,accion___4___showroom_ROBO_BONI_2_2024-12-17_12-10-28_no-obvio_testTOMA_DE_DATOS_2_410__-corte-y-termino.mp4
L04__todo_showroom__accion___4___showroom_ROBO_BONI_2_2024-12-17_12-10-28_no-obvio_testTOMA_DE_DATOS_1_45__-corto-termino.npy,4,val,1.036,883,154,1213,484,25,todo_showroom,accion___4___showroom_ROBO_BONI_2_2024-12-17_12-10-28_no-obvio_testTOMA_DE_DATOS_1_45__-corto-termino.mp4
L13__ainhoa__accion___13___OCT10_bolsillost3_126__-Corte-Saco.npy,13,train,1.07,913,123,1215,425,25,ainhoa,accion___13___OCT10_bolsillost3_126__-Corte-Saco.mp4
L11__dia__accion___11___MIGUEL1testcamara_3_403__Corte-agarro_JOSESEC3.npy,11,val,1.068,627,244,1145,762,25,dia,accion___11___MIGUEL1testcamara_3_403__Corte-agarro_JOSESEC3.mp4
L14__ainhoa__accion___14___OCT04_primera_t4_1136__-Corte-guardo.__metadata-informacion.-Zona-sur-1.-Robo-abrigo..npy,14,val,1.021,602,633,1042,1073,25,ainhoa,accion___14___OCT04_primera_t4_1136__-Corte-guardo.__metadata-informacion.-Zona-sur-1.-Robo-abrigo..mp4
L13__ainhoa__accion___13___OCT04_primera_t1_1060__-corte-saco.__metadata-informacion.-Zona-Sur-1..npy,13,val,1.022,650,101,813,264,25,ainhoa,accion___13___OCT04_primera_t1_1060__-corte-saco.__metadata-informacion.-Zona-Sur-1..mp4
L14__ainhoa__accion___14___OCT10_bolsost3_414__-corte-guardo.__metadata-informacion.-Zona-norte-2.-Robo-bolso..npy,14,train,1.038,534,159,837,462,25,ainhoa,accion___14___OCT10_bolsost3_414__-corte-guardo.__metadata-informacion.-Zona-norte-2.-Robo-bolso..mp4
"L02__dia__accion___2___MIGUEL1testcamara_2_252__Corte,-carrito_JOSESEC2.npy",2,train,1.099,801,139,1066,404,25,dia,"accion___2___MIGUEL1testcamara_2_252__Corte,-carrito_JOSESEC2.mp4"
L40__ainhoa__accion___40___corrert2_158__-Vida..npy,40,train,1.041,770,127,1196,553,25,ainhoa,accion___40___corrert2_158__-Vida..mp4
L48__dia__accion___7___JUAN15ABRILtestcamara_4_139__Corte-hurgar._JUAN12.npy,48,train,1.05,339,145,678,484,25,dia,accion___7___JUAN15ABRILtestcamara_4_139__Corte-hurgar._JUAN12.mp4
L48__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_1_122__Corte-guardar_JOSE2.npy,48,train,1.05,854,131,1271,548,25,dia_guardar,accion___4___no_obvioJUAN15ABRILtestcamara_1_122__Corte-guardar_JOSE2.mp4
L14__ainhoa__accion___14___OCT04_primera_t3_1283__-Corte-guardo.__metadata-informacion.-Zona-norte-4.-Robo-abrigo..npy,14,train,1.02,875,132,1155,412,25,ainhoa,accion___14___OCT04_primera_t3_1283__-Corte-guardo.__metadata-informacion.-Zona-norte-4.-Robo-abrigo..mp4
L04__todo_showroom__accion___4___showroom_ROBO_JOSE_2_2024-12-20_12-37-49_obvio_testTOMA_DE_DATOS_2_37__.npy,4,train,1.034,918,243,1279,604,25,todo_showroom,accion___4___showroom_ROBO_JOSE_2_2024-12-20_12-37-49_obvio_testTOMA_DE_DATOS_2_37__.mp4
L02__dia__accion___2___JUAN15ABRILtestcamara_1_45__Corte-carrito_AINHOA1.npy,2,val,1.082,844,170,1095,421,25,dia,accion___2___JUAN15ABRILtestcamara_1_45__Corte-carrito_AINHOA1.mp4
L46__dia__accion___46___JUAN15ABRILtestcamara_4_276__Corte-dar-vueltas._JOSE2.npy,46,train,1.026,273,100,783,610,25,dia,accion___46___JUAN15ABRILtestcamara_4_276__Corte-dar-vueltas._JOSE2.mp4
"L04__dia_guardar__accion___4___obvioMIGUEL1testcamara_3_87__Corte,-guardo_JOSESEC2.npy",4,train,1.058,715,72,1035,392,25,dia_guardar,"accion___4___obvioMIGUEL1testcamara_3_87__Corte,-guardo_JOSESEC2.mp4"
L11__dia__accion___9___MIGUEL1testcamara_4_52__Korte-topar_ainhoa1.npy,11,val,1.007,144,389,501,746,25,dia,accion___9___MIGUEL1testcamara_4_52__Korte-topar_ainhoa1.mp4
"L04__todo_showroom__accion___4___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_obvio_testTOMA_DE_DATOS_3_188__-Corte,-termino..npy",4,train,1.004,1159,292,1670,803,25,todo_showroom,"accion___4___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_obvio_testTOMA_DE_DATOS_3_188__-Corte,-termino..mp4"
L02__ainhoa__accion___2___SEP30_t2_143__-Corte-nejo.__metadata-informacion-Zona-sur-1-Objeto-falda-Categoria-textil-Robo-abrigo.npy,2,train,1.002,833,128,1001,296,25,ainhoa,accion___2___SEP30_t2_143__-Corte-nejo.__metadata-informacion-Zona-sur-1-Objeto-falda-Categoria-textil-Robo-abrigo.mp4
L10__ainhoa__accion___10___OCT09_t2_5__-Corte-sostengo__metadata-informacion.-Zona-norte-3.-Robo-bolso..npy,10,val,1.016,574,277,854,557,25,ainhoa,accion___10___OCT09_t2_5__-Corte-sostengo__metadata-informacion.-Zona-norte-3.-Robo-bolso..mp4
L03__ainhoa__accion___3___OCT01_primera_t1_300__-Corte-Saco__metadata-informacion-Zona-norte-2-Objeto-camiseta-Categoria-textil-Robo-bolsillo.npy,3,train,1.097,876,145,1105,374,25,ainhoa,accion___3___OCT01_primera_t1_300__-Corte-Saco__metadata-informacion-Zona-norte-2-Objeto-camiseta-Categoria-textil-Robo-bolsillo.mp4
L48__dia__accion___7___JUAN15ABRILtestcamara_1_230__Corte-hurgar._JUAN10.npy,48,train,1.05,597,101,869,373,25,dia,accion___7___JUAN15ABRILtestcamara_1_230__Corte-hurgar._JUAN10.mp4
"L13__ainhoa__accion___13___OCT09_t4_494__-Corte,-saco.__metadata-informacion.-Zona-Centro-1.-Robo-bolso..npy",13,train,1.081,312,258,641,587,25,ainhoa,"accion___13___OCT09_t4_494__-Corte,-saco.__metadata-informacion.-Zona-Centro-1.-Robo-bolso..mp4"
L48__todo_showroom__accion___14___showroom_ROBO_BONI_1_2024-12-17_10-57-57_no_obvio_testTOMA_DE_DATOS_3_128__-corto-termino.npy,48,train,1.075,837,69,1314,546,25,todo_showroom,accion___14___showroom_ROBO_BONI_1_2024-12-17_10-57-57_no_obvio_testTOMA_DE_DATOS_3_128__-corto-termino.mp4
L04__todo_showroom__accion___4___showroom_ROBO_BONI_3_2024-12-18_09-06-24_obvio_testTOMA_DE_DATOS_3_213__-Corto.-Termino..npy,4,train,1.054,374,252,935,813,25,todo_showroom,accion___4___showroom_ROBO_BONI_3_2024-12-18_09-06-24_obvio_testTOMA_DE_DATOS_3_213__-Corto.-Termino..mp4
L12__dia__accion___12___MIGUEL1testcamara_3_65__Corte-carrito_MIGUEL3.npy,12,train,1.048,810,97,1183,470,25,dia,accion___12___MIGUEL1testcamara_3_65__Corte-carrito_MIGUEL3.mp4
L13__ainhoa__accion___13___OCT10_bolsost3_430__-corte-saco.__metadata-informacion.-Zona-norte-1.-Robo-bolso..npy,13,train,1.059,533,106,795,368,25,ainhoa,accion___13___OCT10_bolsost3_430__-corte-saco.__metadata-informacion.-Zona-norte-1.-Robo-bolso..mp4
"L11__dia__accion___9___JUAN15ABRILtestcamara_4_38__Corte,-topar._AINHOA2.npy",11,val,1.066,488,231,828,571,25,dia,"accion___9___JUAN15ABRILtestcamara_4_38__Corte,-topar._AINHOA2.mp4"
L47__dia__accion___47___JUAN15ABRILtestcamara_3_81__Corte-empujo-empujo._JUAN7.npy,47,train,1.051,802,79,1617,894,25,dia,accion___47___JUAN15ABRILtestcamara_3_81__Corte-empujo-empujo._JUAN7.mp4
"L48__ainhoa__accion___4___no_obvio_SEP30_t3_1008__-Corte-guardo.__metadata-informacion,-zona-sur-2-Objeto-pantalon-Categoria-textil-Robo-bolso.npy",48,train,1.086,578,421,1043,886,25,ainhoa,"accion___4___no_obvio_SEP30_t3_1008__-Corte-guardo.__metadata-informacion,-zona-sur-2-Objeto-pantalon-Categoria-textil-Robo-bolso.mp4"
L06__ainhoa__accion___6___n.segunda_17.2_51__-Corte.-17..npy,6,train,1.041,658,0,980,322,25,ainhoa,accion___6___n.segunda_17.2_51__-Corte.-17..mp4
"L01__dia__accion___1___MIGUEL1testcamara_2_346__Corte,-agarrar_MIGUEL2.npy",1,val,1.064,1044,147,1277,380,25,dia,"accion___1___MIGUEL1testcamara_2_346__Corte,-agarrar_MIGUEL2.mp4"
"L24__ainhoa__accion___24___relojt4_17__-Corte,-bajar.__metadata-informno-metadata.npy",24,val,1.083,597,124,1009,536,25,ainhoa,"accion___24___relojt4_17__-Corte,-bajar.__metadata-informno-metadata.mp4"
L00__dia__accion___0___JUAN15ABRILtestcamara_4_104__Corte-leer._JUAN11.npy,0,train,1.042,122,354,556,788,25,dia,accion___0___JUAN15ABRILtestcamara_4_104__Corte-leer._JUAN11.mp4
L47__dia__accion___42___MIGUEL1testcamara_4_408__Corte-caminar._MIGUEL2.npy,47,train,1.072,439,173,879,613,25,dia,accion___42___MIGUEL1testcamara_4_408__Corte-caminar._MIGUEL2.mp4
"L04__todo_showroom__accion___4___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_obvio_testTOMA_DE_DATOS_4_186__-Corte,-termino..npy",4,train,1.099,324,161,1107,944,25,todo_showroom,"accion___4___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_obvio_testTOMA_DE_DATOS_4_186__-Corte,-termino..mp4"
L26__ainhoa__accion___26___saltar2t2_9__-Corte-Saltar-Corte-Saltar.npy,26,val,1.039,813,148,1060,395,25,ainhoa,accion___26___saltar2t2_9__-Corte-Saltar-Corte-Saltar.mp4
L12__dia__accion___12___MIGUEL1testcamara_2_285__Corte-carrito_MIGUEL5.npy,12,val,1.015,718,236,1059,577,25,dia,accion___12___MIGUEL1testcamara_2_285__Corte-carrito_MIGUEL5.mp4
"L11__dia__accion___24___JUAN15ABRILtestcamara_2_1__Corte,-bajar-mano._JUAN7.npy",11,val,1.063,1014,141,1272,399,25,dia,"accion___24___JUAN15ABRILtestcamara_2_1__Corte,-bajar-mano._JUAN7.mp4"
L12__dia__accion___12___MIGUEL1testcamara_2_309__corte-carrito_MIGUEL4.npy,12,train,1.035,796,233,1164,601,25,dia,accion___12___MIGUEL1testcamara_2_309__corte-carrito_MIGUEL4.mp4
"L04__todo_showroom__accion___4___showroom_ROBO_BONI_3_2024-12-18_09-06-24_obvio_testTOMA_DE_DATOS_2_250__-Corto,-termino..npy",4,train,1.049,822,115,1032,325,25,todo_showroom,"accion___4___showroom_ROBO_BONI_3_2024-12-18_09-06-24_obvio_testTOMA_DE_DATOS_2_250__-Corto,-termino..mp4"
L11__dia__accion___9___JUAN15ABRILtestcamara_1_22__Corte-topar_AINHOA4.npy,11,train,1.047,910,116,1104,310,25,dia,accion___9___JUAN15ABRILtestcamara_1_22__Corte-topar_AINHOA4.mp4
"L04__ainhoa__accion___4___obvio_OCT01_primera_t4_1397__-Corte,-guardo.__metadata-informacion-Zona-norte-2-Objeto-camiseta-Categoria-textil-Robo-bolsillo.npy",4,train,1.012,443,191,703,451,25,ainhoa,"accion___4___obvio_OCT01_primera_t4_1397__-Corte,-guardo.__metadata-informacion-Zona-norte-2-Objeto-camiseta-Categoria-textil-Robo-bolsillo.mp4"
"L33__ainhoa__accion___33___bailart2_63__-Corte,-bailar..npy",33,val,1.079,815,176,1169,530,25,ainhoa,"accion___33___bailart2_63__-Corte,-bailar..mp4"
L04__dia_guardar__accion___4___obvioJUAN15ABRILtestcamara_1_137__Corte-Guardar_AINHOA4.npy,4,train,1.08,800,154,966,320,25,dia_guardar,accion___4___obvioJUAN15ABRILtestcamara_1_137__Corte-Guardar_AINHOA4.mp4
"L04__todo_showroom__accion___4___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_obvio_testTOMA_DE_DATOS_1_325__-Corte,-termino..npy",4,train,1.068,610,99,933,422,25,todo_showroom,"accion___4___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_obvio_testTOMA_DE_DATOS_1_325__-Corte,-termino..mp4"
"L02__dia__accion___2___MIGUEL1testcamara_3_393__Corte,-dejo_JOSESEC1.npy",2,train,1.079,500,292,959,751,25,dia,"accion___2___MIGUEL1testcamara_3_393__Corte,-dejo_JOSESEC1.mp4"
"L48__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_2_448__-corte,-termino.npy",48,train,1.044,942,175,1311,544,25,todo_showroom,"accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_2_448__-corte,-termino.mp4"
"L14__ainhoa__accion___14___OCT03_primera_t4_397__-Corte,-guardo.__metadata-informacion.-Zona-norte-4.-Robo-bolso..npy",14,val,1.079,749,169,1038,458,25,ainhoa,"accion___14___OCT03_primera_t4_397__-Corte,-guardo.__metadata-informacion.-Zona-norte-4.-Robo-bolso..mp4"
"L31__ainhoa__accion___31___zapatot2_62__-Corte,-quitar..npy",31,train,1.093,892,142,1075,325,25,ainhoa,"accion___31___zapatot2_62__-Corte,-quitar..mp4"
L11__dia__accion___24___JUAN15ABRILtestcamara_4_209__Corte-bajar-mano._JUAN12.npy,11,train,1.094,595,122,986,513,25,dia,accion___24___JUAN15ABRILtestcamara_4_209__Corte-bajar-mano._JUAN12.mp4
L04__todo_showroom__accion___4___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_obvio_testTOMA_DE_DATOS_3_346__-Termino..npy,4,val,1.022,448,107,861,520,25,todo_showroom,accion___4___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_obvio_testTOMA_DE_DATOS_3_346__-Termino..mp4
L14__ainhoa__accion___14___OCT10_bolsillost2_227__-Corte-guardo..npy,14,train,1.089,1007,148,1184,325,25,ainhoa,accion___14___OCT10_bolsillost2_227__-Corte-guardo..mp4
"L01__dia__accion___1___MIGUEL1testcamara_2_389__Corte,-agarro_JOSESEC1.npy",1,train,1.042,774,121,1014,361,25,dia,"accion___1___MIGUEL1testcamara_2_389__Corte,-agarro_JOSESEC1.mp4"
L48__doblar_sobreponer__02-14-14-59-37 camara 3 - 37-504.npy,48,val,1.043,559,270,1029,740,8,doblar_sobreponer,02-14-14-59-37 camara 3 - 37-504.mp4
"L48__dia__accion___48___MIGUEL1testcamara_4_43__Corte,-manipulo_JOSESEC1.npy",48,train,1.073,226,264,665,703,25,dia,"accion___48___MIGUEL1testcamara_4_43__Corte,-manipulo_JOSESEC1.mp4"
"L12__dia__accion___12___MIGUEL1testcamara_4_25__Corte,-dejar_MIGUEL3.npy",12,train,1.029,123,343,540,760,25,dia,"accion___12___MIGUEL1testcamara_4_25__Corte,-dejar_MIGUEL3.mp4"
L48__dia__accion___48___MIGUEL1testcamara_1_256__corte-manipulo_JOSESEC1.npy,48,val,1.023,868,150,1017,299,25,dia,accion___48___MIGUEL1testcamara_1_256__corte-manipulo_JOSESEC1.mp4
"L00__ainhoa__accion___0___SEP26_primera_t4_513__-Corte,-sostengo.__metadata-informacion-Zona-Centro-2-Objeto-Camiseta-Categoria-Textil-Robo-bolso.npy",0,train,1.048,666,248,1000,582,25,ainhoa,"accion___0___SEP26_primera_t4_513__-Corte,-sostengo.__metadata-informacion-Zona-Centro-2-Objeto-Camiseta-Categoria-Textil-Robo-bolso.mp4"
"L01__dia__accion___1___JUAN15ABRILtestcamara_2_72__Corte,-agarrar._JUAN5.npy",1,train,1.003,739,178,1065,504,25,dia,"accion___1___JUAN15ABRILtestcamara_2_72__Corte,-agarrar._JUAN5.mp4"
"L47__dia__accion___42___MIGUEL1testcamara_3_42__Corte,-caminar._MIGUEL5.npy",47,train,1.096,385,53,1158,826,25,dia,"accion___42___MIGUEL1testcamara_3_42__Corte,-caminar._MIGUEL5.mp4"
L48__doblar_sobreponer__02-13-22-32-33 camara 2 - 33-540.npy,48,train,1.055,467,323,982,838,8,doblar_sobreponer,02-13-22-32-33 camara 2 - 33-540.mp4
L04__todo_showroom__accion___4___showroom_ROBO_BONI_1_2024-12-17_10-57-57_obvio_testTOMA_DE_DATOS_1_208__-corto-termino..npy,4,train,1.042,808,94,1047,333,25,todo_showroom,accion___4___showroom_ROBO_BONI_1_2024-12-17_10-57-57_obvio_testTOMA_DE_DATOS_1_208__-corto-termino..mp4
L40__ainhoa__accion___40___corrert1_74__-Corte-correcto..npy,40,train,1.044,654,97,828,271,25,ainhoa,accion___40___corrert1_74__-Corte-correcto..mp4
L48__ainhoa__accion___4___no_obvio_OCT01_primera_t4_649__-Corte-guardo.__metadata-informacion-Zona-centro-1-Objeto-camiseta-Categoria-textil-Robo-bolsillo.npy,48,train,1.006,360,268,663,571,25,ainhoa,accion___4___no_obvio_OCT01_primera_t4_649__-Corte-guardo.__metadata-informacion-Zona-centro-1-Objeto-camiseta-Categoria-textil-Robo-bolsillo.mp4
L11__dia__accion___9___JUAN15ABRILtestcamara_1_171__Corte-topar._JUAN11.npy,11,train,1.073,868,85,1119,336,25,dia,accion___9___JUAN15ABRILtestcamara_1_171__Corte-topar._JUAN11.mp4
"L48__ainhoa__accion___4___no_obvio_SEP26_primera_t4_396__-Corte,-guardo.__metadata-informacion-Zona-sur-3-Objeto-cinturon-Categoria-textil-Robo-bolso-Corte-inicio.npy",48,train,1.029,260,388,639,767,25,ainhoa,"accion___4___no_obvio_SEP26_primera_t4_396__-Corte,-guardo.__metadata-informacion-Zona-sur-3-Objeto-cinturon-Categoria-textil-Robo-bolso-Corte-inicio.mp4"
L47__dia__accion___42___MIGUEL1testcamara_2_435__Corte-caminar_MIGUEL2.npy,47,train,1.08,642,118,1040,516,25,dia,accion___42___MIGUEL1testcamara_2_435__Corte-caminar_MIGUEL2.mp4
L04__todo_showroom__accion___4___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_obvio_testTOMA_DE_DATOS_3_134__-Corte-y-termino..npy,4,train,1.069,391,253,890,752,25,todo_showroom,accion___4___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_obvio_testTOMA_DE_DATOS_3_134__-Corte-y-termino..mp4
L39__ainhoa__accion___39___chaquetat3_14__-Corte-quitar.npy,39,train,1.04,599,110,868,379,25,ainhoa,accion___39___chaquetat3_14__-Corte-quitar.mp4
"L42__ainhoa__accion___42___gafast1_77__-Corte,-quitar.npy",42,train,1.025,669,124,906,361,25,ainhoa,"accion___42___gafast1_77__-Corte,-quitar.mp4"
L04__todo_showroom__accion___4___showroom_ROBO_BONI_2_2024-12-17_12-10-28_obvio_testTOMA_DE_DATOS_4_149__-corto-termino.npy,4,train,1.014,219,270,580,631,25,todo_showroom,accion___4___showroom_ROBO_BONI_2_2024-12-17_12-10-28_obvio_testTOMA_DE_DATOS_4_149__-corto-termino.mp4
"L03__dia__accion___3___JUAN15ABRILtestcamara_2_114__Corte,-sacar._JUAN2.npy",3,train,1.048,962,129,1201,368,25,dia,"accion___3___JUAN15ABRILtestcamara_2_114__Corte,-sacar._JUAN2.mp4"
L31__ainhoa__accion___31___zapatot3_0__-Corte-e-inicio..npy,31,train,1.07,649,196,1025,572,25,ainhoa,accion___31___zapatot3_0__-Corte-e-inicio..mp4
"L34__ainhoa__accion___34___bolsot2_41__-corte,-dejo.npy",34,train,1.03,607,274,917,584,25,ainhoa,"accion___34___bolsot2_41__-corte,-dejo.mp4"
L48__dia_guardar__accion___4___no_obvioJUAN15ABRILtestcamara_2_5__Corte-guardar._JUAN4.npy,48,train,1.055,838,116,1069,347,25,dia_guardar,accion___4___no_obvioJUAN15ABRILtestcamara_2_5__Corte-guardar._JUAN4.mp4
L34__ainhoa__accion___34___bolsot3_148__-corte-lejos.npy,34,train,1.047,1133,581,1577,1025,25,ainhoa,accion___34___bolsot3_148__-corte-lejos.mp4
L04__dia_guardar__accion___4___obvioJUAN15ABRILtestcamara_2_177__Corte-guarda_JOSE2.npy,4,train,1.023,802,189,1224,611,25,dia_guardar,accion___4___obvioJUAN15ABRILtestcamara_2_177__Corte-guarda_JOSE2.mp4
L46__dia__accion___46___JUAN15ABRILtestcamara_4_237__Corte-dar-vueltas_JOSE2.npy,46,val,1.098,204,312,715,823,25,dia,accion___46___JUAN15ABRILtestcamara_4_237__Corte-dar-vueltas_JOSE2.mp4
L46__dia__accion___46___MIGUEL1testcamara_4_180__Corte-dar-vueltas_ainhoa1.npy,46,train,1.004,491,306,918,733,25,dia,accion___46___MIGUEL1testcamara_4_180__Corte-dar-vueltas_ainhoa1.mp4
"L14__ainhoa__accion___14___OCT04_primera_t4_117__-Corte,-guardo.__metadata-informacion.-Zona-norte-4.-Robo-abrigo..npy",14,train,1.058,749,172,1033,456,25,ainhoa,"accion___14___OCT04_primera_t4_117__-Corte,-guardo.__metadata-informacion.-Zona-norte-4.-Robo-abrigo..mp4"
L00__ainhoa__accion___0___SEP26_primera_t4_304__-Sostengo.__metadata-informacion.-Zona-centro-1-Objeto-pantalon.-Categoria-textil-Robo-abrigo.npy,0,train,1.025,387,258,721,592,25,ainhoa,accion___0___SEP26_primera_t4_304__-Sostengo.__metadata-informacion.-Zona-centro-1-Objeto-pantalon.-Categoria-textil-Robo-abrigo.mp4
"L00__ainhoa__accion___0___OCT01_primera_t2_49__-corte,-sostengo__metadata-informacion-Zona-centro-2-Objeto,-camiseta-Categoria,-textil-Robo,-bolsillo.npy",0,train,1.091,672,203,928,459,25,ainhoa,"accion___0___OCT01_primera_t2_49__-corte,-sostengo__metadata-informacion-Zona-centro-2-Objeto,-camiseta-Categoria,-textil-Robo,-bolsillo.mp4"
L04__todo_showroom__accion___4___showroom_ROBO_BONI_2_2024-12-17_12-10-28_obvio_testTOMA_DE_DATOS_1_408__-corte-termino.npy,4,train,1.079,854,131,1128,405,25,todo_showroom,accion___4___showroom_ROBO_BONI_2_2024-12-17_12-10-28_obvio_testTOMA_DE_DATOS_1_408__-corte-termino.mp4
L14__dia__accion___14___MIGUEL1testcamara_3_13__Corte-guardar_MIGUEL5.npy,14,train,1.053,772,117,1176,521,25,dia,accion___14___MIGUEL1testcamara_3_13__Corte-guardar_MIGUEL5.mp4
"L11__dia__accion___11___MIGUEL1testcamara_1_37__Corte,-agarrar_MIGUEL4.npy",11,train,1.016,867,183,1195,511,25,dia,"accion___11___MIGUEL1testcamara_1_37__Corte,-agarrar_MIGUEL4.mp4"
L28__ainhoa__accion___28___sentarset2_8__-Corte-arriba..npy,28,train,1.052,868,290,1181,603,25,ainhoa,accion___28___sentarset2_8__-Corte-arriba..mp4
