npy,label,split,marco,x0,y0,x1,y1,fps,clip_origen
L48__01-07-18-30-18 camara 0 - 18-953.npy,48,train,1.015,640,79,833,272,8,01-07-18-30-18 camara 0 - 18-953.mp4
L48__01-07-18-35-15 camara 0 - 15-531.npy,48,train,1.047,608,126,894,412,8,01-07-18-35-15 camara 0 - 15-531.mp4
L48__01-07-18-39-40 camara 2 - 40-641.npy,48,val,1.043,505,81,830,406,8,01-07-18-39-40 camara 2 - 40-641.mp4
L48__01-07-18-39-41 camara 3 - 41-519.npy,48,train,1.008,457,113,746,402,8,01-07-18-39-41 camara 3 - 41-519.mp4
L48__01-07-18-45-21 camara 3 - 21-152.npy,48,train,1.051,371,129,730,488,8,01-07-18-45-21 camara 3 - 21-152.mp4
L48__01-07-18-46-52 camara 0 - 52-989.npy,48,train,1.057,636,85,865,314,8,01-07-18-46-52 camara 0 - 52-989.mp4
L48__01-07-18-47-00 camara 3 - 00-242.npy,48,train,1.017,664,138,1103,577,8,01-07-18-47-00 camara 3 - 00-242.mp4
L48__01-07-18-47-35 camara 3 - 35-854.npy,48,train,1.095,444,97,789,442,8,01-07-18-47-35 camara 3 - 35-854.mp4
L48__01-07-18-47-43 camara 2 - 43-284.npy,48,val,1.088,489,65,803,379,8,01-07-18-47-43 camara 2 - 43-284.mp4
L48__01-07-18-47-44 camara 3 - 44-179.npy,48,train,1.059,454,100,736,382,8,01-07-18-47-44 camara 3 - 44-179.mp4
L48__01-07-18-51-41 camara 1 - 41-339.npy,48,train,1.071,784,112,1006,334,8,01-07-18-51-41 camara 1 - 41-339.mp4
L48__01-07-18-52-44 camara 3 - 44-579.npy,48,train,1.095,299,142,710,553,8,01-07-18-52-44 camara 3 - 44-579.mp4
L48__01-07-18-53-29 camara 3 - 29-256.npy,48,train,1.044,365,112,746,493,8,01-07-18-53-29 camara 3 - 29-256.mp4
L48__01-07-18-54-32 camara 1 - 32-918.npy,48,train,1.076,823,107,1044,328,8,01-07-18-54-32 camara 1 - 32-918.mp4
L48__01-07-18-55-04 camara 0 - 04-593.npy,48,train,1.039,560,158,888,486,8,01-07-18-55-04 camara 0 - 04-593.mp4
L48__01-07-18-59-55 camara 1 - 55-917.npy,48,val,1.037,642,170,953,481,8,01-07-18-59-55 camara 1 - 55-917.mp4
L48__01-07-18-59-56 camara 3 - 56-722.npy,48,train,1.041,742,115,1047,420,8,01-07-18-59-56 camara 3 - 56-722.mp4
L48__01-07-19-02-59 camara 0 - 59-566.npy,48,train,1.063,555,156,900,501,8,01-07-19-02-59 camara 0 - 59-566.mp4
L48__01-07-19-03-00 camara 1 - 00-442.npy,48,train,1.015,625,171,954,500,8,01-07-19-03-00 camara 1 - 00-442.mp4
L48__01-07-19-04-28 camara 3 - 28-667.npy,48,train,1.055,466,115,730,379,8,01-07-19-04-28 camara 3 - 28-667.mp4
L48__01-07-19-04-29 camara 2 - 29-497.npy,48,val,1.1,530,59,852,381,8,01-07-19-04-29 camara 2 - 29-497.mp4
L48__01-07-19-04-35 camara 2 - 35-197.npy,48,val,1.031,556,80,865,389,8,01-07-19-04-35 camara 2 - 35-197.mp4
L48__01-07-19-04-47 camara 3 - 47-855.npy,48,train,1.067,314,166,675,527,8,01-07-19-04-47 camara 3 - 47-855.mp4
L48__01-07-19-04-54 camara 1 - 54-341.npy,48,train,1.0,985,191,1255,461,8,01-07-19-04-54 camara 1 - 54-341.mp4
L48__01-07-19-06-10 camara 3 - 10-179.npy,48,train,1.023,373,145,708,480,8,01-07-19-06-10 camara 3 - 10-179.mp4
L48__01-07-19-07-45 camara 3 - 45-431.npy,48,train,1.082,452,98,725,371,8,01-07-19-07-45 camara 3 - 45-431.mp4
L48__01-07-19-09-26 camara 3 - 26-890.npy,48,train,1.079,389,116,732,459,8,01-07-19-09-26 camara 3 - 26-890.mp4
L48__01-07-19-09-33 camara 3 - 33-354.npy,48,train,1.002,501,127,799,425,8,01-07-19-09-33 camara 3 - 33-354.mp4
L48__01-07-19-09-46 camara 2 - 46-010.npy,48,val,1.094,768,46,1139,417,8,01-07-19-09-46 camara 2 - 46-010.mp4
L48__01-07-19-13-10 camara 1 - 10-058.npy,48,train,1.086,822,105,1025,308,8,01-07-19-13-10 camara 1 - 10-058.mp4
L48__01-07-19-15-36 camara 1 - 36-474.npy,48,train,1.04,893,224,1238,569,8,01-07-19-15-36 camara 1 - 36-474.mp4
L48__01-07-19-17-31 camara 1 - 31-776.npy,48,train,1.018,946,177,1207,438,8,01-07-19-17-31 camara 1 - 31-776.mp4
L48__01-07-19-17-38 camara 3 - 38-162.npy,48,train,1.084,337,155,706,524,8,01-07-19-17-38 camara 3 - 38-162.mp4
L48__01-07-19-18-29 camara 3 - 29-343.npy,48,val,1.033,387,127,732,472,8,01-07-19-18-29 camara 3 - 29-343.mp4
L48__01-07-19-19-26 camara 1 - 26-509.npy,48,train,1.038,642,161,977,496,8,01-07-19-19-26 camara 1 - 26-509.mp4
L48__01-07-19-19-32 camara 1 - 32-943.npy,48,train,1.021,654,197,981,524,8,01-07-19-19-32 camara 1 - 32-943.mp4
L48__01-07-19-23-35 camara 0 - 35-753.npy,48,train,1.037,579,169,916,506,8,01-07-19-23-35 camara 0 - 35-753.mp4
L48__01-07-19-26-34 camara 3 - 34-915.npy,48,train,1.089,349,142,709,502,8,01-07-19-26-34 camara 3 - 34-915.mp4
L48__01-07-19-28-37 camara 3 - 37-013.npy,48,train,1.098,289,208,662,581,8,01-07-19-28-37 camara 3 - 37-013.mp4
L48__01-07-19-36-36 camara 3 - 36-912.npy,48,train,1.02,351,179,697,525,8,01-07-19-36-36 camara 3 - 36-912.mp4
L48__01-07-19-37-09 camara 1 - 09-120.npy,48,train,1.064,813,103,1026,316,8,01-07-19-37-09 camara 1 - 09-120.mp4
L48__01-07-19-38-07 camara 3 - 07-223.npy,48,train,1.005,174,348,558,732,8,01-07-19-38-07 camara 3 - 07-223.mp4
L48__01-07-19-42-36 camara 3 - 36-786.npy,48,train,1.017,160,301,631,772,8,01-07-19-42-36 camara 3 - 36-786.mp4
L48__01-07-19-46-28 camara 2 - 28-141.npy,48,train,1.096,804,46,1116,358,8,01-07-19-46-28 camara 2 - 28-141.mp4
L48__01-07-19-46-28 camara 3 - 28-890.npy,48,train,1.094,657,90,964,397,8,01-07-19-46-28 camara 3 - 28-890.mp4
L48__01-07-19-52-17 camara 3 - 17-001.npy,48,train,1.018,345,147,704,506,8,01-07-19-52-17 camara 3 - 17-001.mp4
L48__01-07-19-52-29 camara 3 - 29-801.npy,48,train,1.002,240,292,652,704,8,01-07-19-52-29 camara 3 - 29-801.mp4
L48__01-07-19-54-26 camara 3 - 26-136.npy,48,train,1.088,70,281,619,830,8,01-07-19-54-26 camara 3 - 26-136.mp4
L48__01-07-19-55-31 camara 1 - 31-091.npy,48,train,1.017,831,111,1046,326,8,01-07-19-55-31 camara 1 - 31-091.mp4
L48__01-07-19-56-48 camara 2 - 48-054.npy,48,train,1.076,831,59,1179,407,8,01-07-19-56-48 camara 2 - 48-054.mp4
L48__01-07-19-56-48 camara 3 - 48-878.npy,48,val,1.051,690,120,1037,467,8,01-07-19-56-48 camara 3 - 48-878.mp4
L48__01-07-19-56-54 camara 0 - 54-665.npy,48,train,1.095,564,130,918,484,8,01-07-19-56-54 camara 0 - 54-665.mp4
L48__01-07-19-58-57 camara 0 - 57-991.npy,48,train,1.085,541,178,942,579,8,01-07-19-58-57 camara 0 - 57-991.mp4
L48__01-07-20-00-28 camara 1 - 28-643.npy,48,train,1.049,609,193,963,547,8,01-07-20-00-28 camara 1 - 28-643.mp4
L48__01-07-20-00-35 camara 0 - 35-269.npy,48,train,1.063,570,176,927,533,8,01-07-20-00-35 camara 0 - 35-269.mp4
L48__01-07-20-07-11 camara 3 - 11-159.npy,48,train,1.081,332,165,695,528,8,01-07-20-07-11 camara 3 - 11-159.mp4
L48__01-07-20-07-43 camara 1 - 43-362.npy,48,val,1.087,600,208,944,552,8,01-07-20-07-43 camara 1 - 43-362.mp4
L48__01-07-20-08-21 camara 1 - 21-859.npy,48,train,1.076,764,130,1006,372,8,01-07-20-08-21 camara 1 - 21-859.mp4
L48__01-07-20-09-45 camara 3 - 45-991.npy,48,train,1.005,536,104,797,365,8,01-07-20-09-45 camara 3 - 45-991.mp4
L48__01-07-20-09-46 camara 2 - 46-734.npy,48,train,1.085,625,51,933,359,8,01-07-20-09-46 camara 2 - 46-734.mp4
L48__01-07-20-09-52 camara 1 - 52-626.npy,48,val,1.01,853,245,1225,617,8,01-07-20-09-52 camara 1 - 52-626.mp4
L48__01-07-20-09-53 camara 0 - 53-454.npy,48,train,1.078,834,188,1206,560,8,01-07-20-09-53 camara 0 - 53-454.mp4
L48__01-07-20-09-54 camara 2 - 54-318.npy,48,train,1.023,511,78,802,369,8,01-07-20-09-54 camara 2 - 54-318.mp4
L48__01-07-20-09-55 camara 3 - 55-108.npy,48,val,1.096,460,96,747,383,8,01-07-20-09-55 camara 3 - 55-108.mp4
L48__01-07-20-10-44 camara 3 - 44-665.npy,48,train,1.081,91,345,607,861,8,01-07-20-10-44 camara 3 - 44-665.mp4
L48__01-07-20-14-06 camara 3 - 06-344.npy,48,train,1.017,508,105,763,360,8,01-07-20-14-06 camara 3 - 06-344.mp4
L48__01-07-20-23-12 camara 0 - 12-929.npy,48,train,1.022,852,107,1070,325,8,01-07-20-23-12 camara 0 - 12-929.mp4
L48__01-07-20-25-43 camara 1 - 43-044.npy,48,train,1.073,946,193,1249,496,8,01-07-20-25-43 camara 1 - 43-044.mp4
L48__01-07-20-28-13 camara 1 - 13-825.npy,48,train,1.001,657,172,969,484,8,01-07-20-28-13 camara 1 - 13-825.mp4
L48__01-07-20-28-52 camara 1 - 52-970.npy,48,train,1.015,821,110,1027,316,8,01-07-20-28-52 camara 1 - 52-970.mp4
L48__01-07-20-28-59 camara 0 - 59-699.npy,48,train,1.074,622,72,816,266,8,01-07-20-28-59 camara 0 - 59-699.mp4
L48__01-07-20-29-32 camara 3 - 32-304.npy,48,val,1.037,459,155,720,416,8,01-07-20-29-32 camara 3 - 32-304.mp4
L48__01-07-20-30-04 camara 1 - 04-982.npy,48,train,1.095,938,218,1246,526,8,01-07-20-30-04 camara 1 - 04-982.mp4
